{ nthreads = 1 ; time = 0.01782226562500000000 }
{ nthreads = 1 ; time = 0.01782226562500000000 }
{ nthreads = 1 ; time = 0.01928710937500000000 }
{ nthreads = 1 ; time = 0.01782226562500000000 }
{ nthreads = 1 ; time = 0.01757812500000000000 }
{ nthreads = 2 ; time = 0.01074218750000000000 }
{ nthreads = 2 ; time = 0.01000976562500000000 }
{ nthreads = 2 ; time = 0.01123046875000000000 }
{ nthreads = 2 ; time = 0.01000976562500000000 }
{ nthreads = 2 ; time = 0.01025390625000000000 }
{ nthreads = 3 ; time = 0.01220703125000000000 }
{ nthreads = 3 ; time = 0.01171875000000000000 }
{ nthreads = 3 ; time = 0.01196289062500000000 }
{ nthreads = 3 ; time = 0.01245117187500000000 }
{ nthreads = 3 ; time = 0.01196289062500000000 }
{ nthreads = 4 ; time = 0.00952148437500000000 }
{ nthreads = 4 ; time = 0.01000976562500000000 }
{ nthreads = 4 ; time = 0.01000976562500000000 }
{ nthreads = 4 ; time = 0.00976562500000000000 }
{ nthreads = 4 ; time = 0.01000976562500000000 }
{ nthreads = 8 ; time = 0.01489257812500000000 }
{ nthreads = 8 ; time = 0.01000976562500000000 }
{ nthreads = 8 ; time = 0.01586914062500000000 }
{ nthreads = 8 ; time = 0.01416015625000000000 }
{ nthreads = 8 ; time = 0.01269531250000000000 }
{ nthreads = 16 ; time = 0.01586914062500000000 }
{ nthreads = 16 ; time = 0.03686523437500000000 }
{ nthreads = 16 ; time = 0.03613281250000000000 }
{ nthreads = 16 ; time = 0.01367187500000000000 }
{ nthreads = 16 ; time = 0.01489257812500000000 }
{ nthreads = 16 ; time = 0.00976562500000000000 }
